zipcode,pop,borough,stop_id,trains
11213,62426,Kings,249,3
11213,62426,Kings,250,3 4
11213,62426,Kings,A48,A C
11212,83866,Kings,251,3
11212,83866,Kings,252,3
11212,83866,Kings,253,3
11212,83866,Kings,254,3
11225,56527,Kings,239,2 3 4
11225,56527,Kings,241,2
11225,56527,Kings,242,2
11225,56527,Kings,243,2
11225,56527,Kings,248,3
11225,56527,Kings,D26,Q
11225,56527,Kings,D27,Q
11225,56527,Kings,S04,S
11218,72280,Kings,F26,F G
11218,72280,Kings,F27,F
11218,72280,Kings,F29,F
11226,106132,Kings,244,2
11226,106132,Kings,245,2
11226,106132,Kings,246,2
11226,106132,Kings,D28,Q
11226,106132,Kings,D29,Q
11226,106132,Kings,D30,Q
11226,106132,Kings,D31,Q
11219,92561,Kings,B12,D
11219,92561,Kings,B13,D
11219,92561,Kings,B14,D
11219,92561,Kings,B15,D
11219,92561,Kings,B16,D
11219,92561,Kings,N03,N
11219,92561,Kings,N04,N
11210,67067,Kings,247,2
11230,80857,Kings,D32,Q
11230,80857,Kings,D33,Q
11230,80857,Kings,D34,Q
11230,80857,Kings,F30,F
11230,80857,Kings,F31,F
11230,80857,Kings,F32,F
11230,80857,Kings,F33,F
11204,77354,Kings,F34,F
11204,77354,Kings,N05,N
11204,77354,Kings,N06,N
11204,77354,Kings,N07,N
10470,14740,Bronx,201,2
10466,68942,Bronx,204,2
10466,68942,Bronx,205,2
10466,68942,Bronx,206,2
10466,68942,Bronx,501,5
10467,97932,Bronx,207,2
10467,97932,Bronx,208,2
10467,97932,Bronx,209,2
10467,97932,Bronx,210,2
10467,97932,Bronx,401,4
10467,97932,Bronx,402,4
10467,97932,Bronx,D01,D
10463,70641,Bronx,101,1
10463,70641,Bronx,103,1
10463,70641,Bronx,104,1
10469,65101,Bronx,502,5
10469,65101,Bronx,503,5
10469,65101,Bronx,504,5
10468,72877,Bronx,405,4
10468,72877,Bronx,406,4
10468,72877,Bronx,407,4
10463,70641,New York,106,1
10458,79362,Bronx,D03,D
10458,79362,Bronx,D04,D
10458,79362,Bronx,D05,D
10034,39149,New York,107,1
10034,39149,New York,108,1
10034,39149,New York,A02,A
10033,54284,New York,111,1
10033,54284,New York,A06,A
10033,54284,New York,A07,A
10462,75674,Bronx,211,2
10462,75674,Bronx,212,2
10462,75674,Bronx,505,5
10462,75674,Bronx,606,6
10462,75674,Bronx,607,6
10040,41033,New York,109,1
10040,41033,New York,110,1
10040,41033,New York,A03,A
10040,41033,New York,A05,A
10453,77576,Bronx,408,4
10453,77576,Bronx,409,4
10453,77576,Bronx,410,4
10461,50549,Bronx,601,6
10461,50549,Bronx,602,6
10461,50549,Bronx,603,6
10461,50549,Bronx,604,6
10457,70253,Bronx,D06,D
10457,70253,Bronx,D07,D
10457,70253,Bronx,D08,D
10460,56670,Bronx,213,2 5
10460,56670,Bronx,214,2 5
10460,56670,Bronx,215,2 5
10032,57606,New York,112,1
10032,57606,New York,113,1
10032,57606,New York,A09,A C
10032,57606,New York,A10,C
10032,57606,New York,A11,C
10452,76104,Bronx,411,4
10452,76104,Bronx,412,4
10452,76104,Bronx,413,4
10452,76104,Bronx,414,4
10452,76104,Bronx,D10,D
10452,76104,Bronx,D11,D
10456,89390,Bronx,D09,D
10472,66356,Bronx,608,6
10472,66356,Bronx,609,6
10472,66356,Bronx,610,6
10472,66356,Bronx,611,6
10031,57010,New York,114,1
10031,57010,New York,115,1
10031,57010,New York,A12,A C D
10031,57010,New York,A14,C
10039,24234,New York,301,3
10039,24234,New York,D12,D
10459,46804,Bronx,216,2 5
10459,46804,Bronx,217,2 5
10459,46804,Bronx,218,2 5
10459,46804,Bronx,612,6
10459,46804,Bronx,613,6
10451,44140,Bronx,222,2 5
10451,44140,Bronx,415,4
10451,44140,Bronx,416,4 5
10030,26720,New York,224,2 3
10030,26720,New York,302,3
10027,58639,New York,116,1
10027,58639,New York,225,2 3
10027,58639,New York,A15,A C D
10455,39834,Bronx,219,2 5
10455,39834,Bronx,220,2 5
10455,39834,Bronx,221,2 5
10455,39834,Bronx,614,6
10455,39834,Bronx,615,6
10024,58521,New York,121,1
10024,58521,New York,122,1
10454,37466,Bronx,616,6
10454,37466,Bronx,617,6
10454,37466,Bronx,618,6
10454,37466,Bronx,619,6
10026,34313,New York,226,2 3
10026,34313,New York,227,2 3
10026,34313,New York,A16,C
10026,34313,New York,A17,C
10035,34884,New York,621,4 5 6
10035,34884,New York,622,6
10048,0,New York,138,1
10025,96054,New York,117,1
10025,96054,New York,118,1
10025,96054,New York,119,1
10025,96054,New York,120,1 2 3
10029,77503,New York,623,6
10029,77503,New York,624,6
10029,77503,New York,Q05,Q
00083,25,New York,A18,C
00083,25,New York,A19,C
00083,25,New York,A20,C
00083,25,New York,A21,C
00083,25,New York,A22,C
00083,25,New York,R13,N R
11105,36906,Queens,R01,N
10128,55748,New York,625,6
10023,62800,New York,123,1 2 3
10023,62800,New York,124,1
10023,62800,New York,125,1
10023,62800,New York,A24,A C D
10028,47530,New York,626,4 5 6
10028,47530,New York,Q04,Q
11354,58525,Queens,701,7
11102,33944,Queens,R04,N
10021,45299,New York,627,6
10021,45299,New York,Q03,Q
10044,11661,New York,B06,F
11103,38234,Queens,G18,M R
11103,38234,Queens,G19,M R
11103,38234,Queens,R03,N
11106,38665,Queens,R05,N
11106,38665,Queens,R06,N
11368,109069,Queens,702,7
11368,109069,Queens,705,7
11368,109069,Queens,706,7
11377,90852,Queens,711,7
11377,90852,Queens,712,7
11377,90852,Queens,713,7
11377,90852,Queens,G15,M R
11377,90852,Queens,G16,M R
11101,26254,Queens,716,7
11101,26254,Queens,718,7
11101,26254,Queens,719,7
11101,26254,Queens,720,7
11101,26254,Queens,721,7
11101,26254,Queens,B04,F
11101,26254,Queens,F09,E M
11101,26254,Queens,G20,M R
11101,26254,Queens,G21,E M R
11101,26254,Queens,G22,G
11101,26254,Queens,G24,G
11101,26254,Queens,R08,N
10018,5503,New York,127,1 2 3
10018,5503,New York,724,7
10018,5503,New York,R16,N Q R
10017,15918,New York,631,4 5 6
10017,15918,New York,723,7
10017,15918,New York,901,CLOSED
10001,22413,New York,128,1 2 3
10001,22413,New York,129,1
10001,22413,New York,726,7
10001,22413,New York,A28,A C E
10001,22413,New York,D17,D F M
10001,22413,New York,R17,N Q R
10001,22413,New York,R18,N R
10011,50594,New York,130,1
10011,50594,New York,131,1
10011,50594,New York,132,1 2 3
10011,50594,New York,A30,C E
10011,50594,New York,A31,A C E
10011,50594,New York,D19,F M
10011,50594,New York,L01,L
10011,50594,New York,L02,L
10016,54606,New York,632,6
10016,54606,New York,633,6
11104,27127,Queens,714,7
11104,27127,Queens,715,7
10010,29881,New York,634,6
10010,29881,New York,D18,F M
10010,29881,New York,R19,N R
10014,31328,New York,133,1
10014,31328,New York,134,1
10014,31328,New York,A32,A C E
10003,55878,New York,635,4 5 6
10003,55878,New York,636,6
10003,55878,New York,F14,F
10003,55878,New York,L03,L
10003,55878,New York,L05,L
10003,55878,New York,R20,N Q R
10003,55878,New York,R21,N R
11222,36315,Kings,G26,G
11222,36315,Kings,G28,G
10002,81305,New York,D22,D
10002,81305,New York,F15,F
10002,81305,New York,F16,F
10002,81305,New York,M18,J M
10002,81305,New York,M19,J
10009,61455,New York,L06,L
10012,24276,New York,637,6
10012,24276,New York,638,6
10012,24276,New York,A33,C E
10012,24276,New York,D21,D F M
10012,24276,New York,R22,N R
10013,27985,New York,135,1
10013,27985,New York,136,1
10013,27985,New York,639,6
10013,27985,New York,A34,A C E
10013,27985,New York,M20,J
10013,27985,New York,Q01,N Q
10013,27985,New York,R23,R
10007,7323,New York,137,1 2 3
10007,7323,New York,228,2 3
10007,7323,New York,640,4 5 6
10007,7323,New York,A36,A C
10007,7323,New York,E01,E
10007,7323,New York,M21,J
10007,7323,New York,R24,R
10007,7323,New York,R25,R
11237,49335,Kings,L15,L
11237,49335,Kings,L16,L
11237,49335,Kings,M08,M
11237,49335,Kings,M09,M
11385,98436,Queens,L17,L
11385,98436,Queens,L19,L
11385,98436,Queens,M04,M
11385,98436,Queens,M05,M
11385,98436,Queens,M06,M
10038,19127,New York,229,2 3
10038,19127,New York,418,4 5
10038,19127,New York,A38,A C
10038,19127,New York,M22,J
11206,83575,Kings,G30,G
11206,83575,Kings,G31,G
11206,83575,Kings,G32,G
11206,83575,Kings,L12,L
11206,83575,Kings,L13,L
11206,83575,Kings,L14,L
11206,83575,Kings,M11,J M
11206,83575,Kings,M12,J M
11206,83575,Kings,M13,J M
10006,3011,New York,139,1
10006,3011,New York,419,4 5
10006,3011,New York,R26,R
10005,8107,New York,230,2 3
10005,8107,New York,M23,J
10004,2187,New York,142,1
10004,2187,New York,420,4 5
10004,2187,New York,R27,R
11201,53041,Kings,231,2 3
11201,53041,Kings,232,2 3
11201,53041,Kings,233,2 3
11201,53041,Kings,423,4
11201,53041,Kings,A40,A C
11201,53041,Kings,A41,A C F
11201,53041,Kings,F18,F
11201,53041,Kings,F20,F G
11201,53041,Kings,R28,R
11201,53041,Kings,R29,R
11201,53041,Kings,R30,Q R
11205,41125,Kings,G33,G
11205,41125,Kings,G35,G
11208,94410,Kings,A54,C
11208,94410,Kings,A55,A C
11208,94410,Kings,A57,A
11208,94410,Kings,J19,J
11208,94410,Kings,J20,J
11208,94410,Kings,J21,J
11208,94410,Kings,J22,J
11207,93556,Kings,255,3
11207,93556,Kings,256,3
11207,93556,Kings,257,3
11207,93556,Kings,A52,C
11207,93556,Kings,A53,C
11207,93556,Kings,J23,J
11207,93556,Kings,J24,J
11207,93556,Kings,J27,J
11207,93556,Kings,L20,L
11207,93556,Kings,L21,L
11207,93556,Kings,L22,L
11207,93556,Kings,L24,L
11207,93556,Kings,L25,L
11207,93556,Kings,L26,L
11207,93556,Kings,L27,L
11217,36615,Kings,234,2 3 4
11217,36615,Kings,235,2 3
11217,36615,Kings,236,2 3
11217,36615,Kings,A42,A C G
11217,36615,Kings,A43,C
11217,36615,Kings,D24,Q
11217,36615,Kings,D25,Q
11217,36615,Kings,G36,G
11217,36615,Kings,R31,D N R
11238,46664,Kings,237,2 3
11238,46664,Kings,238,2 3
11238,46664,Kings,A44,C
11238,46664,Kings,A45,C
11238,46664,Kings,G34,G
11238,46664,Kings,S01,S
11238,46664,Kings,S03,S
11231,33144,Kings,F21,F G
11420,44538,Queens,H01,A
11420,44538,Queens,H02,A
11417,28562,Queens,A59,A
11417,28562,Queens,A60,A
11417,28562,Queens,A61,A
11417,28562,Queens,A63,A
11215,63272,Kings,F22,F G
11215,63272,Kings,F23,F G
11215,63272,Kings,F24,F G
11215,63272,Kings,F25,F G
11215,63272,Kings,R32,R
11215,63272,Kings,R33,R
11215,63272,Kings,R34,R
11232,29521,Kings,R35,R
11232,29521,Kings,R36,D N R
11236,94480,Kings,L28,L
11236,94480,Kings,L29,L
11220,97257,Kings,N02,N
11220,97257,Kings,R39,R
11220,97257,Kings,R40,R
11220,97257,Kings,R41,N R
11220,97257,Kings,R42,R
10301,40438,Richmond,S30,SIR
10301,40438,Richmond,S31,SIR
11693,11052,Queens,H04,A S
11209,69255,Kings,R43,R
11209,69255,Kings,R44,R
11209,69255,Kings,R45,R
10304,41502,Richmond,S26,SIR
10304,41502,Richmond,S27,SIR
10304,41502,Richmond,S28,SIR
10304,41502,Richmond,S29,SIR
11228,43080,Kings,B17,D
10305,41746,Richmond,S25,SIR
11229,79608,Kings,D35,Q
11229,79608,Kings,D37,Q
11229,79608,Kings,D38,Q
11214,89061,Kings,B18,D
11214,89061,Kings,B19,D
11214,89061,Kings,B20,D
11214,89061,Kings,B21,D
11214,89061,Kings,B22,D
11214,89061,Kings,B23,D
11691,60267,Queens,H08,A
11691,60267,Queens,H09,A
11691,60267,Queens,H10,A
11691,60267,Queens,H11,A
11223,79864,Kings,F35,F
11223,79864,Kings,F36,F
11223,79864,Kings,F38,F
11223,79864,Kings,N08,N
11223,79864,Kings,N09,N
11223,79864,Kings,N10,N
11692,18018,Queens,H06,A
11692,18018,Queens,H07,A
11235,76130,Kings,D39,Q
11235,76130,Kings,D40,Q
11235,76130,Kings,D41,Q
11693,11052,Queens,H12,S
10306,55602,Richmond,S20,SIR
10306,55602,Richmond,S21,SIR
10306,55602,Richmond,S22,SIR
10306,55602,Richmond,S23,SIR
10306,55602,Richmond,S24,SIR
11694,20163,Queens,H13,S
11694,20163,Queens,H14,S
11694,20163,Queens,H15,S
11224,49600,Kings,D42,F Q
11224,49600,Kings,D43,D F N Q
11224,49600,Kings,F39,F
10308,27612,Richmond,S19,SIR
10312,58506,Richmond,S16,SIR
10312,58506,Richmond,S17,SIR
10312,58506,Richmond,S18,SIR
10309,33114,Richmond,S13,SIR
10309,33114,Richmond,S14,SIR
10309,33114,Richmond,S15,SIR
10307,14096,Richmond,S09,SIR
10307,14096,Richmond,S11,SIR
11372,66636,Queens,707,7
11372,66636,Queens,708,7
11372,66636,Queens,709,7
11375,68555,Queens,F06,E F
11375,68555,Queens,F07,E F
11375,68555,Queens,G08,E F M R
11375,68555,Queens,G09,M R
11374,42755,Queens,G10,M R
11432,62075,Queens,F01,F
11432,62075,Queens,F02,F
11432,62075,Queens,F03,F
11379,35428,Queens,M01,M
11435,53404,Queens,F04,F
11435,53404,Queens,F05,E F
11435,53404,Queens,G06,E J
11418,36607,Queens,G07,E
11418,36607,Queens,J12,J
11418,36607,Queens,J13,J
11418,36607,Queens,J14,J
11433,33679,Queens,G05,E J
11221,80232,Kings,J29,J
11221,80232,Kings,J30,J
11221,80232,Kings,J31,J
11221,80232,Kings,M10,M
11421,39014,Queens,J15,J
11421,39014,Queens,J16,J
11421,39014,Queens,J17,J
11419,47054,Queens,A64,A
11419,47054,Queens,A65,A
11216,53862,Kings,A46,A C
11216,53862,Kings,A47,C
11233,66737,Kings,A49,C
11233,66737,Kings,A50,C
11233,66737,Kings,A51,A C
11233,66737,Kings,J28,J
10019,41966,New York,126,1
10019,41966,New York,A25,C E
10019,41966,New York,B10,F
10019,41966,New York,D14,D E
10019,41966,New York,D15,D F M
10019,41966,New York,R14,N Q R
10019,41966,New York,R15,N R
10022,33135,New York,629,4 5 6
10022,33135,New York,630,6
10022,33135,New York,F11,E M
10022,33135,New York,F12,E M
10065,33459,New York,628,6
10065,33459,New York,B08,F Q
10065,33459,New York,R11,N R
11211,60861,Kings,G29,G
11211,60861,Kings,L08,L
11211,60861,Kings,L10,L
11211,60861,Kings,L11,L
11211,60861,Kings,M14,J M
11211,60861,Kings,M16,J M
11373,101282,Queens,710,7
11373,101282,Queens,G11,M R
11373,101282,Queens,G12,M R
11373,101282,Queens,G13,M R
11373,101282,Queens,G14,E F M R
10036,23543,New York,725,7
10036,23543,New York,902,CLOSED
10036,23543,New York,A27,A C E
10036,23543,New York,D16,D F M
11414,26148,Queens,H03,A